รหัสลูกค้า,ที่อยู่เต็ม
C001,123/4 หมู่ 5 ซอยพหลโยธิน 12 ถนนพหลโยธิน ตำบลคลองหนึ่ง อำเภอคลองหลวง จังหวัดปทุมธานี 12120
C002,456 บ้านพฤกษา ซอยอ่อนนุช 46 ถนนอ่อนนุช แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
C003,99 ม.3 ถ.สุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา กทม 10110
C004,88/2 ถนนเชียงใหม่-ลำปาง ต.ช้างเผือก อ.เมือง จ.เชียงใหม่ 50300
C005,10 ซ.ลาดพร้าว 71 ถ.ลาดพร้าว แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพฯ 10230
C006,No. 55 Moo 2 Soi Sukhumvit 71 Road Sukhumvit Khwaeng Phra Khanong Nuea Khet Watthana Bangkok 10110
C007,200 หมู่บ้านปัญจพฤกษ์ หมู่ที่ 4 ถนนกาญจนาภิเษก ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140
C008,77/5 ถนนมิตรภาพ ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000
C009,321 ซอยรัชดา 7 ถนนรัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
C010,15/3 ม.8 ต.หนองบัว อ.หนองบัวลำภู จ.หนองบัวลำภู 39000
